Bioproject,Accession ,Name,Organism    ,PopulationofOrigin,Sample
,,Ancestral Strain,PA14,,anc
PRJNA692838,SAMN17372736,MRS 1301,PA14,"Planktonic, Population 1",120
PRJNA692838,SAMN17372737,MRS 1302,PA14,"Planktonic, Population 2",121
PRJNA692838,SAMN17372738,MRS 1303,PA14,"Planktonic, Population 3",122
PRJNA692838,SAMN17372739,MRS 1304,PA14,"Planktonic, Population 4",125
PRJNA692838,SAMN17372740,MRS 1305,PA14,"Planktonic, Population 4",126
PRJNA692838,SAMN17372741,MRS 1306,PA14,"Planktonic, Population 5",127
PRJNA692838,SAMN17372742,MRS 1307,PA14,"Planktonic, Population 5",128
PRJNA692838,SAMN17372743,MRS 1308,PA14,"Biofilm, Population 2",129
PRJNA692838,SAMN17372744,MRS 1309,PA14,"Biofilm, Population 2",130
PRJNA692838,SAMN17372745,MRS 1310,PA14,"Biofilm, Population 3",131
PRJNA692838,SAMN17372746,MRS 1202,PA14,"Planktonic, Population 2",25
PRJNA692838,SAMN17372747,MRS 1203,PA14,"Planktonic, Population 3",26
PRJNA692838,SAMN17372748,MRS 1219,PA14,"Biofilm, Population 1",29
PRJNA692838,SAMN17372749,MRS 1220,PA14,"Biofilm, Population 1",30
PRJNA692838,SAMN17372750,MRS 1221,PA14,"Biofilm, Population 1",31
PRJNA595915 ,SAMN14929132 ,MRS_1266,PA14,"Planktonic, Population 1",1021_1
,,MRS 1207,PA14,,27
,,MRS 1208,PA14,,28
