DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650835,PA14_00010,CDS,483,2027,+,dnaA,,chromosomal replication initiation protein,,,YP_788156.1 ; WP_003109151.1,1545,515,57.7,8.88,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650837,PA14_00020,CDS,2056,3159,+,dnaN,,DNA polymerase III subunit beta,,,YP_788157.1 ; WP_003097262.1,1104,368,40.7,4.89,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650839,PA14_00030,CDS,3169,4278,+,recF,,recombination protein F,,,YP_788158.1 ; WP_003097265.1,1110,370,41.5,8.15,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650841,PA14_00050,CDS,4275,6695,+,gyrB,,DNA gyrase subunit B,,,YP_788159.1 ; WP_003097268.1,2421,807,90.2,5.74,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650843,PA14_00060,CDS,7018,7791,-,,,acyltransferase,,,YP_788160.1 ; WP_003100265.1,774,258,28.7,10.23,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650845,PA14_00070,CDS,7803,8339,-,,,"D,D-heptose 1,7-bisphosphate phosphatase",,,YP_788161.1 ; WP_003142196.1,537,179,19.1,4.68,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650847,PA14_00080,CDS,8671,10377,+,,,hypothetical protein,,,YP_788162.1 ; WP_003142198.1,1707,569,61.9,7.91,Unknown (This protein may have multiple localization sites) [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650849,PA14_00090,CDS,10434,12488,-,glyS,,glycyl-tRNA synthetase subunit beta,,,YP_788163.1 ; WP_003100271.1,2055,685,73.9,4.84,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650851,PA14_00100,CDS,12488,13435,-,glyQ,,glycyl-tRNA synthetase subunit alpha,,,YP_788164.1 ; WP_003097276.1,948,316,36.1,4.7,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650853,PA14_00110,CDS,13540,14091,+,tag,,DNA-3-methyladenine glycosidase I,,,YP_788165.1 ; WP_003097280.1,552,184,20.8,4.63,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650855,PA14_00120,CDS,14236,15123,+,,,lipid A biosynthesis lauroyl acyltransferase,,,YP_788166.1 ; WP_003097282.1,888,296,33,9.84,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650857,PA14_00130,CDS,15208,15474,+,,,hypothetical protein,,,YP_788167.1 ; WP_003114645.1,267,89,9.8,5.64,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650859,PA14_00140,CDS,15621,16274,+,,,hypothetical protein,,,YP_788168.1 ; WP_003142200.1,654,218,24.2,10.58,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650861,PA14_00150,CDS,16336,16608,-,,,hypothetical protein,,,YP_788169.1 ; WP_003142201.1,273,91,10,7.9,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650863,PA14_00160,CDS,16923,17240,-,,,hypothetical protein,,,YP_788170.1 ; WP_003142202.1,318,106,11.4,8.49,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650865,PA14_00170,CDS,17389,18762,-,trkA,,potassium transporter peripheral membrane protein,,,YP_788171.1 ; WP_003111375.1,1374,458,49.9,5.05,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650867,PA14_00180,CDS,18789,20093,-,,,tRNA and rRNA cytosine-C5-methylases,,,YP_788172.1 ; WP_003142203.1,1305,435,47.1,7.97,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650869,PA14_00190,CDS,20090,21034,-,fmt,,methionyl-tRNA formyltransferase,,,YP_788173.1 ; WP_003142204.1,945,315,33,6.72,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650871,PA14_00200,CDS,21088,21594,-,def,,peptide deformylase,,,YP_788174.1 ; WP_003097293.1,507,169,19.4,4.73,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650873,PA14_00210,CDS,21733,22758,+,,,lysin domain-containing protein,,,YP_788175.1 ; WP_003097294.1,1026,342,37.6,9.37,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650875,PA14_00230,CDS,22893,23981,+,,,Rossmann fold nucleotide-binding protein,,,YP_788176.1 ; WP_003142205.1,1089,363,37.7,7.13,Unknown (This protein may have multiple localization sites) [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650877,PA14_00240,CDS,24022,24579,+,,,hypothetical protein,,,YP_788177.1 ; WP_003097300.1,558,186,20.4,6.51,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650879,PA14_00250,CDS,24589,25566,-,qor,,quinone oxidoreductase,,,YP_788178.1 ; WP_003097303.1,978,326,35.1,6.26,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650881,PA14_00280,CDS,25757,26674,+,hemF,,coproporphyrinogen III oxidase,,,YP_788179.1 ; WP_003097311.1,918,306,34.8,5.78,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650883,PA14_00290,CDS,26732,27556,+,aroE,,shikimate 5-dehydrogenase,,,YP_788180.1 ; WP_003097314.1,825,275,29.5,5.49,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650885,PA14_00300,CDS,27667,28653,+,plcB,,"phospholipase C, PlcB",,,YP_788181.1 ; WP_003097316.1,987,329,36.7,5.32,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650887,PA14_00310,CDS,28634,29920,+,,,peptidyl-prolyl isomerase,,,YP_788182.1 ; WP_003142206.1,1287,429,48.8,9.49,Unknown (This protein may have multiple localization sites) [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650889,PA14_00320,CDS,29917,30519,+,,,hypothetical protein,,,YP_788183.1 ; WP_003131389.1,603,201,21.2,4.37,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650891,PA14_00340,CDS,30523,32076,-,,,sulfate transporter,,,YP_788184.1 ; WP_003097320.1,1554,518,55.3,10.46,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650893,PA14_00360,CDS,32081,33004,-,,,hypothetical protein,,,YP_788185.1 ; WP_003097322.1,924,308,33.9,7.55,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650895,PA14_00380,CDS,33021,34532,-,betC,,choline sulfatase,,,YP_788186.1 ; WP_003142209.1,1512,504,57.4,6.38,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650897,PA14_00400,CDS,34645,35559,+,,,LysR family transcriptional regulator,,,YP_788187.1 ; WP_003111194.1,915,305,33.8,8.15,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650899,PA14_00410,CDS,35570,35947,+,,,dioxygenase,,,YP_788188.1 ; WP_003097328.1,378,126,14.4,6.39,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650901,PA14_00420,CDS,35926,36291,-,,,histidine phosphotransfer domain-containing protein,,,YP_788189.1 ; WP_003097330.1,366,122,13.4,5.56,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650903,PA14_00430,CDS,36299,36922,-,,,two-component response regulator,,,YP_788190.1 ; WP_003111192.1,624,208,22.9,10.15,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650905,PA14_00440,CDS,37108,37914,-,trpA,,tryptophan synthase subunit alpha,,,YP_788191.1 ; WP_003097337.1,807,269,28.5,5,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650907,PA14_00450,CDS,37911,39119,-,trpB,,tryptophan synthase subunit beta,,,YP_788192.1 ; WP_003142212.1,1209,403,43.7,6.36,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650909,PA14_00460,CDS,39223,40110,+,trpI,,transcriptional regulator TrpI,,,YP_788193.1 ; WP_003142214.1,888,296,32.3,6.64,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650911,PA14_00470,CDS,40211,40426,+,,,hypothetical protein,,,YP_788194.1 ; WP_003097345.1,216,72,7.9,7.09,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650913,PA14_00480,CDS,40610,40837,+,,,hypothetical protein,,,YP_788195.1 ; WP_003097347.1,228,76,7.9,8.73,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650915,PA14_00490,CDS,41133,42821,+,,,hemolysin activation/secretion protein,,,YP_788196.1 ; WP_011666522.1,1689,563,63.2,8.09,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650917,PA14_00510,CDS,42934,53265,+,,,hemagglutinin,,,YP_788197.1 ; ,10332,3444,352768,5.31,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650919,PA14_00520,CDS,54577,54699,+,,,hypothetical protein,,,YP_788198.1 ; WP_003118489.1,123,41,4.8,4.54,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650921,PA14_00530,CDS,54909,55304,+,,,hypothetical protein,,,YP_788199.1 ; WP_003083536.1,396,132,14.6,5.73,Unknown [Class 3]
