Sample,Seq Id,Position,Reads (Cov),Reads (Cov),Score,Skew,Freq,Annotation,Gene,Product
1021_1,NC_008463.1,"""3175697^A =""",67 (2.390),80 (3.190),52/218,0.0,57.4%,intergenic^A (+390/+106),PA14_35700/PA14_35710,hypothetical protein/hypothetical protein
,NC_008463.1,"""= 3177289""",59 (2.350),,,,,coding (70/375 nt),PA14_35730,hypothetical protein
1021_1,NC_008463.1,"""= 4395770""",22 (0.780),6 (0.220),4/240,2.5,21.6%,coding (1068/2892 nt),nrdA,ribonucleotide-diphosphate reductase subunit alpha
,NC_008463.1,"""4395774 =""",22 (0.800),,,,,coding (1072/2892 nt),nrdA,ribonucleotide-diphosphate reductase subunit alpha
1021_1,NC_008463.1,"""= 5072862""",20 (0.750),5 (0.180)+CGTT,4/224,2.4,20.1%,coding (95/243 nt),PA14_56910,hypothetical protein
,NC_008463.1,"""5072863 =""",20 (0.710),,,,,coding (94/243 nt),PA14_56910,hypothetical protein
120,NC_008463.1,"""3175697^A =""",185 (2.980),183 (3.280),81/236,0.0,56.5%,intergenic^A (+390/+106),PA14_35700/PA14_35710,hypothetical protein/hypothetical protein
,NC_008463.1,"""= 3177289""",115 (2.060),,,,,coding (70/375 nt),PA14_35730,hypothetical protein
121,NC_008463.1,"""3175697^A =""",133 (2.600),149 (3.240),73/236,0.0,57.9%,intergenic^A (+390/+106),PA14_35700/PA14_35710,hypothetical protein/hypothetical protein
,NC_008463.1,"""= 3177289""",97 (2.110),,,,,coding (70/375 nt),PA14_35730,hypothetical protein
122,NC_008463.1,"""3175697^A =""",179 (3.490),166 (3.600),74/238,0.0,56.4%,intergenic^A (+390/+106),PA14_35700/PA14_35710,hypothetical protein/hypothetical protein
,NC_008463.1,"""= 3177289""",95 (2.060),,,,,coding (70/375 nt),PA14_35730,hypothetical protein
125,NC_008463.1,"""3175697^A =""",202 (3.630),139 (2.780),66/236,0.0,51.3%,intergenic^A (+390/+106),PA14_35700/PA14_35710,hypothetical protein/hypothetical protein
,NC_008463.1,"""= 3177289""",82 (1.640),,,,,coding (70/375 nt),PA14_35730,hypothetical protein
126,NC_008463.1,"""3175697^A =""",192 (2.880),191 (3.180),81/234,0.0,56.0%,intergenic^A (+390/+106),PA14_35700/PA14_35710,hypothetical protein/hypothetical protein
,NC_008463.1,"""= 3177289""",127 (2.120),,,,,coding (70/375 nt),PA14_35730,hypothetical protein
127,NC_008463.1,"""3175697^A =""",123 (2.260),6606 (135.120),225/236,0.0,98.6%,intergenic^A (+390/+106),PA14_35700/PA14_35710,hypothetical protein/hypothetical protein
,NC_008463.1,"""= 3177289""",77 (1.570),,,,,coding (70/375 nt),PA14_35730,hypothetical protein
127,NC_008463.1,"""4345126 =""",53 (0.980),3285 (65.510),202/242,0.0,98.7%,intergenic (-45/+61),PA14_48870/PA14_48880,C32 tRNA thiolase/bacteriophage integrase
,NC_008463.1,"""= 4355790""",40 (0.800),,,,,intergenic (+917/-59),PA14_49030/PA14_49040,hypothetical protein/hypothetical protein
127,NC_008463.1,"""4353517 =""",2549 (46.920),1081 (19.900),188/262,0.0,29.8%,coding (231/267 nt),pf5r,Pf5 repressor C
,NC_008463.1,"""= 4353532""",NA (NA),,,,,coding (246/267 nt),pf5r,Pf5 repressor C
128,NC_008463.1,"""3175697^A =""",131 (2.490),22398 (472.200),253/234,0.0,99.6%,intergenic^A (+390/+106),PA14_35700/PA14_35710,hypothetical protein/hypothetical protein
,NC_008463.1,"""= 3177289""",83 (1.750),,,,,coding (70/375 nt),PA14_35730,hypothetical protein
128,NC_008463.1,"""4345126 =""",40 (0.760),1590 (32.680),180/240,0.0,98.0%,intergenic (-45/+61),PA14_48870/PA14_48880,C32 tRNA thiolase/bacteriophage integrase
,NC_008463.1,"""= 4355790""",29 (0.600),,,,,intergenic (+917/-59),PA14_49030/PA14_49040,hypothetical protein/hypothetical protein
